Latitude,Longitude,UTM_Easting,UTM_Northing,UTM_Zone_Number,UTM_Zone_Letter
55.914752,9.203741,512734.8270771494,6196610.534770021,32,U
55.914752,9.203741,512734.8270771494,6196610.534770021,32,U
55.914752,9.203741,512734.8270771494,6196610.534770021,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914752,9.203742,512734.8895820316,6196610.534954103,32,U
55.914751,9.203742,512734.88990980596,6196610.423658623,32,U
55.914751,9.203742,512734.88990980596,6196610.423658623,32,U
55.914751,9.203742,512734.88990980596,6196610.423658623,32,U
55.91475,9.203743,512734.9527424657,6196610.312547224,32,U
55.91475,9.203743,512734.9527424657,6196610.312547224,32,U
55.91475,9.203743,512734.9527424657,6196610.312547224,32,U
55.914749,9.203743,512734.9530702416,6196610.201251744,32,U
55.914749,9.203744,512735.01557512867,6196610.201435828,32,U
55.914749,9.203744,512735.01557512867,6196610.201435828,32,U
55.914749,9.203744,512735.01557512867,6196610.201435828,32,U
55.914749,9.203744,512735.01557512867,6196610.201435828,32,U
55.91475,9.203744,512735.0152473511,6196610.312731307,32,U
55.91475,9.203744,512735.0152473511,6196610.312731307,32,U
55.91475,9.203744,512735.0152473511,6196610.312731307,32,U
55.91475,9.203744,512735.0152473511,6196610.312731307,32,U
55.91475,9.203744,512735.0152473511,6196610.312731307,32,U
55.914751,9.203744,512735.01491957356,6196610.424026789,32,U
55.914751,9.203744,512735.01491957356,6196610.424026789,32,U
55.914751,9.203744,512735.01491957356,6196610.424026789,32,U
55.914752,9.203744,512735.014591796,6196610.5353222685,32,U
55.914752,9.203744,512735.014591796,6196610.5353222685,32,U
55.914753,9.203743,512734.9517591378,6196610.646433665,32,U
55.914754,9.203743,512734.95143136184,6196610.757729147,32,U
55.914755,9.203742,512734.8885987085,6196610.868840545,32,U
55.914756,9.203741,512734.8257660584,6196610.979951945,32,U
55.914757,9.20374,512734.76293341146,6196611.091063345,32,U
55.914758,9.203739,512734.7001007678,6196611.202174746,32,U
55.91476,9.203738,512734.63694036094,6196611.424581629,32,U
55.914761,9.203737,512734.5741077253,6196611.535693033,32,U
55.914762,9.203735,512734.4487702267,6196611.646620361,32,U
55.914764,9.203734,512734.38560983754,6196611.869027248,32,U
